IDSIM	TGBD	TGKT
S04	24/02/2017 14:16:43	24/02/2017 15:41:43
S07	25/02/2017 23:02:43	26/02/2017 15:09:43
S01	28/02/2017 03:35:43	28/02/2017 09:51:43
S03	02/03/2017 15:16:43	03/03/2017 06:15:43
S08	03/03/2017 05:47:43	03/03/2017 14:57:43
S07	03/03/2017 20:07:43	04/03/2017 14:36:43
S06	03/03/2017 23:56:43	04/03/2017 11:35:43
S03	05/03/2017 02:36:43	05/03/2017 21:40:43
S01	06/03/2017 08:35:43	06/03/2017 20:25:43
S05	07/03/2017 00:09:43	07/03/2017 09:26:43
S02	08/03/2017 23:30:43	09/03/2017 05:32:43
S01	09/03/2017 17:07:43	09/03/2017 20:58:43
S01	10/03/2017 11:10:43	10/03/2017 19:28:43
S01	12/03/2017 05:07:43	12/03/2017 19:40:43
S05	14/03/2017 23:02:43	15/03/2017 08:24:43
S03	17/03/2017 02:41:43	17/03/2017 04:24:43
S09	19/03/2017 02:21:43	19/03/2017 06:33:43
S21	19/03/2017 11:28:43	19/03/2017 16:29:43
S09	20/03/2017 02:57:43	20/03/2017 21:58:43
S03	21/03/2017 02:55:43	21/03/2017 12:41:43
S09	22/03/2017 02:06:43	22/03/2017 06:59:43
S03	22/03/2017 02:27:43	22/03/2017 05:18:43
S08	22/03/2017 22:07:43	23/03/2017 15:14:43
S05	23/03/2017 19:53:43	23/03/2017 22:16:43
S21	25/03/2017 07:11:43	25/03/2017 22:35:43
S04	25/03/2017 10:30:43	25/03/2017 11:41:43
S02	26/03/2017 06:19:43	27/03/2017 02:45:43
S02	27/03/2017 21:23:43	28/03/2017 07:07:43
S09	29/03/2017 09:37:43	29/03/2017 16:09:43
S02	31/03/2017 21:54:43	01/04/2017 17:26:43
S05	02/04/2017 04:28:43	02/04/2017 10:15:43
S01	03/04/2017 15:17:43	04/04/2017 00:52:43
S04	04/04/2017 16:00:43	05/04/2017 05:59:43
S03	05/04/2017 04:00:43	05/04/2017 20:58:43
S06	06/04/2017 04:10:43	06/04/2017 10:10:43
S05	07/04/2017 14:52:43	07/04/2017 19:40:43
S21	08/04/2017 07:14:43	08/04/2017 12:33:43
S01	09/04/2017 04:15:43	09/04/2017 22:07:43
S08	11/04/2017 18:50:43	11/04/2017 20:25:43
S21	14/04/2017 15:25:43	14/04/2017 18:42:43
S09	16/04/2017 06:45:43	16/04/2017 20:51:43
S01	19/04/2017 06:00:43	19/04/2017 08:30:43
S03	21/04/2017 02:06:43	21/04/2017 04:14:43
S08	23/04/2017 19:58:43	24/04/2017 01:47:43
S21	25/04/2017 23:28:43	26/04/2017 14:04:43
S09	26/04/2017 05:35:43	26/04/2017 20:28:43
S04	27/04/2017 00:33:43	27/04/2017 23:48:43
S05	29/04/2017 00:33:43	29/04/2017 00:45:43
S09	01/05/2017 12:02:43	01/05/2017 20:07:43
S03	02/05/2017 09:56:43	02/05/2017 17:05:43
S01	04/05/2017 10:02:43	04/05/2017 22:37:43
S08	07/05/2017 07:59:43	08/05/2017 01:32:43
S03	08/05/2017 01:02:43	08/05/2017 16:31:43
S02	10/05/2017 04:36:43	10/05/2017 06:50:43
S03	11/05/2017 22:13:43	12/05/2017 05:27:43
S06	13/05/2017 18:50:43	14/05/2017 05:27:43
S03	16/05/2017 04:22:43	16/05/2017 14:22:43
S09	16/05/2017 16:24:43	17/05/2017 13:02:43
S01	19/05/2017 08:36:43	19/05/2017 16:41:43
S06	19/05/2017 20:54:43	19/05/2017 23:34:43
S08	20/05/2017 05:54:43	21/05/2017 01:58:43
S02	20/05/2017 12:21:43	20/05/2017 14:44:43
S21	23/05/2017 07:44:43	23/05/2017 16:16:43
S01	25/05/2017 03:04:43	26/05/2017 02:56:43
S09	26/05/2017 11:08:43	26/05/2017 12:52:43
S04	28/05/2017 21:29:43	29/05/2017 03:54:43
S21	30/05/2017 07:53:43	30/05/2017 12:53:43
S04	31/05/2017 18:52:43	31/05/2017 21:00:43
S02	02/06/2017 05:39:43	02/06/2017 17:20:43
S05	04/06/2017 22:57:43	05/06/2017 14:38:43
S08	07/06/2017 16:42:43	07/06/2017 17:32:43
S05	09/06/2017 11:47:43	09/06/2017 17:21:43
S06	12/06/2017 06:02:43	12/06/2017 09:23:43
S01	12/06/2017 07:54:43	12/06/2017 20:09:43
S02	13/06/2017 06:16:43	13/06/2017 12:49:43
S07	16/06/2017 04:14:43	16/06/2017 09:39:43
S01	18/06/2017 19:43:43	19/06/2017 17:22:43
S02	20/06/2017 18:29:43	21/06/2017 11:55:43
S02	23/06/2017 17:14:43	24/06/2017 01:15:43
S06	25/06/2017 13:42:43	26/06/2017 08:01:43
S04	27/06/2017 22:41:43	28/06/2017 13:53:43
S01	28/06/2017 10:07:43	28/06/2017 22:15:43
S01	01/07/2017 06:30:43	01/07/2017 23:57:43
S09	03/07/2017 17:35:43	04/07/2017 02:09:43
S09	06/07/2017 05:45:43	06/07/2017 08:38:43
S01	08/07/2017 20:17:43	09/07/2017 03:15:43
S05	10/07/2017 00:11:43	10/07/2017 23:17:43
S01	12/07/2017 17:01:43	13/07/2017 08:13:43
S06	14/07/2017 05:20:43	14/07/2017 12:14:43
S01	15/07/2017 07:03:43	16/07/2017 00:11:43
S06	16/07/2017 13:25:43	17/07/2017 03:44:43
S06	17/07/2017 04:00:43	17/07/2017 07:19:43
S09	17/07/2017 14:35:43	17/07/2017 19:09:43
S04	19/07/2017 23:43:43	20/07/2017 07:22:43
S06	20/07/2017 15:59:43	21/07/2017 01:43:43
S09	20/07/2017 21:09:43	21/07/2017 14:12:43
S07	21/07/2017 05:56:43	22/07/2017 04:15:43
S03	22/07/2017 22:49:43	23/07/2017 21:54:43
S07	24/07/2017 01:55:43	24/07/2017 20:05:43
S03	25/07/2017 06:28:43	26/07/2017 02:05:43
S01	25/07/2017 16:04:43	26/07/2017 12:10:43
S08	27/07/2017 06:58:43	27/07/2017 08:09:43
S03	29/07/2017 07:39:43	29/07/2017 14:06:43
S09	31/07/2017 13:41:43	31/07/2017 19:42:43
S21	02/08/2017 08:21:43	02/08/2017 22:20:43
S09	02/08/2017 16:48:43	02/08/2017 22:53:43
S08	04/08/2017 00:54:43	04/08/2017 22:01:43
S21	05/08/2017 00:29:43	05/08/2017 10:02:43
S05	06/08/2017 09:51:43	06/08/2017 22:44:43
S08	06/08/2017 19:12:43	07/08/2017 05:10:43
S09	07/08/2017 01:08:43	07/08/2017 03:10:43
S21	07/08/2017 04:31:43	07/08/2017 18:52:43
S02	09/08/2017 14:10:43	09/08/2017 22:17:43
S21	11/08/2017 08:21:43	11/08/2017 21:00:43
S05	14/08/2017 02:23:43	14/08/2017 03:55:43
S03	14/08/2017 20:14:43	15/08/2017 15:11:43
S08	17/08/2017 03:27:43	17/08/2017 14:48:43
S01	17/08/2017 09:12:43	18/08/2017 00:46:43
S07	19/08/2017 12:39:43	19/08/2017 14:10:43
S05	20/08/2017 11:12:43	21/08/2017 08:32:43
S05	22/08/2017 05:01:43	22/08/2017 12:48:43
S03	25/08/2017 01:44:43	25/08/2017 15:36:43
S04	26/08/2017 01:41:43	26/08/2017 12:41:43
S06	26/08/2017 07:33:43	27/08/2017 07:29:43
S05	26/08/2017 16:22:43	27/08/2017 09:13:43
S21	29/08/2017 07:22:43	29/08/2017 10:03:43
S06	31/08/2017 09:03:43	31/08/2017 20:43:43
S04	31/08/2017 19:41:43	01/09/2017 06:08:43
S05	03/09/2017 17:41:43	04/09/2017 06:35:43
S04	05/09/2017 17:37:43	06/09/2017 16:43:43
S09	07/09/2017 02:06:43	07/09/2017 19:34:43
S09	07/09/2017 16:04:43	07/09/2017 21:26:43
S02	08/09/2017 12:18:43	09/09/2017 08:09:43
S03	11/09/2017 01:25:43	11/09/2017 16:08:43
S06	13/09/2017 11:23:43	13/09/2017 16:01:43
S02	14/09/2017 18:09:43	15/09/2017 04:43:43
S01	17/09/2017 11:33:43	18/09/2017 03:31:43
S03	20/09/2017 01:52:43	21/09/2017 00:07:43
S09	20/09/2017 08:58:43	21/09/2017 05:29:43
S09	20/09/2017 12:25:43	21/09/2017 07:07:43
S21	22/09/2017 03:54:43	22/09/2017 05:39:43
S05	24/09/2017 16:01:43	25/09/2017 14:56:43
S09	26/09/2017 21:06:43	27/09/2017 16:19:43
S02	29/09/2017 05:05:43	29/09/2017 11:06:43
S02	29/09/2017 08:38:43	29/09/2017 17:07:43
S09	01/10/2017 18:14:43	02/10/2017 04:07:43
S21	03/10/2017 23:18:43	04/10/2017 08:32:43
S21	05/10/2017 19:05:43	06/10/2017 12:30:43
S03	05/10/2017 23:30:43	06/10/2017 07:51:43
S06	06/10/2017 13:36:43	06/10/2017 17:26:43
S06	07/10/2017 13:37:43	07/10/2017 18:35:43
S21	10/10/2017 13:09:43	11/10/2017 01:20:43
S09	11/10/2017 11:11:43	12/10/2017 08:30:43
S03	12/10/2017 03:30:43	12/10/2017 18:00:43
S04	12/10/2017 05:04:43	12/10/2017 07:18:43
S02	13/10/2017 13:55:43	13/10/2017 23:49:43
S07	15/10/2017 12:30:43	16/10/2017 08:54:43
S09	17/10/2017 03:23:43	17/10/2017 05:53:43
S06	19/10/2017 01:01:43	19/10/2017 16:01:43
S21	20/10/2017 15:21:43	20/10/2017 17:17:43
S02	21/10/2017 02:49:43	21/10/2017 13:51:43
S09	22/10/2017 19:20:43	23/10/2017 12:10:43
S04	24/10/2017 09:22:43	25/10/2017 03:06:43
S01	25/10/2017 10:22:43	26/10/2017 00:49:43
S04	26/10/2017 10:44:43	27/10/2017 10:26:43
S01	27/10/2017 11:45:43	28/10/2017 04:42:43
S05	29/10/2017 13:09:43	29/10/2017 17:28:43
S04	31/10/2017 01:49:43	31/10/2017 07:39:43
S21	03/11/2017 00:09:43	03/11/2017 01:08:43
S05	05/11/2017 02:57:43	06/11/2017 01:41:43
S07	07/11/2017 20:10:43	08/11/2017 09:34:43
S05	09/11/2017 13:08:43	10/11/2017 12:24:43
S09	10/11/2017 07:51:43	11/11/2017 06:47:43
S07	11/11/2017 19:43:43	12/11/2017 02:19:43
S03	14/11/2017 04:09:43	14/11/2017 18:37:43
S06	15/11/2017 15:16:43	16/11/2017 03:20:43
S05	15/11/2017 21:35:43	16/11/2017 13:04:43
S05	16/11/2017 11:59:43	16/11/2017 19:20:43
S05	19/11/2017 02:57:43	19/11/2017 23:12:43
S04	20/11/2017 22:17:43	21/11/2017 16:37:43
S21	23/11/2017 20:01:43	24/11/2017 08:26:43
S01	24/11/2017 12:15:43	24/11/2017 14:21:43
S07	27/11/2017 00:15:43	27/11/2017 23:16:43
S21	27/11/2017 03:47:43	27/11/2017 23:47:43
S04	28/11/2017 11:21:43	29/11/2017 07:45:43
S01	01/12/2017 08:31:43	02/12/2017 00:21:43
S03	04/12/2017 05:59:43	04/12/2017 15:38:43
S08	04/12/2017 22:10:43	05/12/2017 05:32:43
S04	05/12/2017 03:32:43	06/12/2017 01:17:43
S09	06/12/2017 00:48:43	06/12/2017 07:25:43
S02	06/12/2017 02:27:43	06/12/2017 20:50:43
S01	06/12/2017 10:25:43	06/12/2017 13:13:43
S07	08/12/2017 06:58:43	09/12/2017 04:46:43
S05	09/12/2017 00:47:43	09/12/2017 16:19:43
S06	09/12/2017 07:00:43	09/12/2017 17:21:43
S01	10/12/2017 02:32:43	10/12/2017 20:12:43
S09	10/12/2017 17:25:43	11/12/2017 15:08:43
S07	10/12/2017 22:54:43	11/12/2017 09:08:43
S02	13/12/2017 06:49:43	13/12/2017 18:22:43
S08	16/12/2017 05:17:43	16/12/2017 09:02:43
S07	18/12/2017 19:04:43	19/12/2017 17:48:43
S09	18/12/2017 22:29:43	18/12/2017 22:51:43
S03	21/12/2017 08:41:43	21/12/2017 15:30:43
S08	22/12/2017 02:33:43	22/12/2017 08:07:43
S07	22/12/2017 14:29:43	22/12/2017 15:43:43
S04	22/12/2017 21:01:43	23/12/2017 03:15:43
S06	24/12/2017 23:30:43	25/12/2017 20:21:43
S05	27/12/2017 17:05:43	27/12/2017 23:27:43
S06	30/12/2017 14:01:43	30/12/2017 23:52:43
S04	31/12/2017 22:04:43	01/01/2018 05:26:43
S04	03/01/2018 02:29:43	03/01/2018 18:04:43
S09	04/01/2018 02:37:43	04/01/2018 12:04:43
S02	06/01/2018 16:19:43	06/01/2018 19:56:43
S04	07/01/2018 14:46:43	08/01/2018 01:26:43
S21	09/01/2018 06:27:43	09/01/2018 07:24:43
S01	09/01/2018 12:10:43	09/01/2018 18:48:43
S09	09/01/2018 22:40:43	10/01/2018 22:17:43
S06	10/01/2018 19:46:43	11/01/2018 06:33:43
S21	11/01/2018 20:00:43	12/01/2018 18:43:43
S04	14/01/2018 05:25:43	14/01/2018 18:52:43
S09	16/01/2018 14:26:43	16/01/2018 23:16:43
S03	18/01/2018 10:47:43	18/01/2018 18:50:43
S06	20/01/2018 17:15:43	20/01/2018 23:10:43
S07	23/01/2018 06:30:43	23/01/2018 13:05:43
S06	23/01/2018 21:20:43	23/01/2018 23:25:43
S05	25/01/2018 11:22:43	25/01/2018 15:13:43
S21	25/01/2018 17:16:43	26/01/2018 07:53:43
S06	25/01/2018 19:07:43	25/01/2018 22:27:43
S01	27/01/2018 14:47:43	28/01/2018 14:42:43
S08	28/01/2018 07:46:43	28/01/2018 21:38:43
S09	29/01/2018 00:00:43	29/01/2018 18:15:43
S09	30/01/2018 02:02:43	30/01/2018 10:28:43
S07	01/02/2018 08:22:43	02/02/2018 02:34:43
S09	02/02/2018 23:54:43	03/02/2018 22:40:43
S02	03/02/2018 15:56:43	04/02/2018 10:54:43
S05	05/02/2018 16:48:43	06/02/2018 11:17:43
S09	06/02/2018 10:32:43	06/02/2018 13:45:43
S21	09/02/2018 09:01:43	09/02/2018 18:36:43
S01	10/02/2018 00:30:43	10/02/2018 08:04:43
S08	10/02/2018 14:58:43	10/02/2018 18:40:43
S05	12/02/2018 12:26:43	12/02/2018 15:37:43
S05	14/02/2018 19:51:43	15/02/2018 02:22:43
S04	17/02/2018 09:12:43	18/02/2018 02:58:43
S08	19/02/2018 19:59:43	20/02/2018 14:06:43
S08	21/02/2018 04:45:43	21/02/2018 11:01:43
S21	21/02/2018 13:24:43	21/02/2018 16:43:43
S21	22/02/2018 23:56:43	23/02/2018 12:30:43
S04	24/02/2018 05:59:43	24/02/2018 15:48:43
S04	25/02/2018 05:22:43	25/02/2018 22:19:43
S08	27/02/2018 00:42:43	27/02/2018 22:06:43
S06	01/03/2018 02:01:43	01/03/2018 13:47:43
S02	03/03/2018 05:00:43	04/03/2018 03:16:43
S09	04/03/2018 17:57:43	04/03/2018 19:56:43
S04	06/03/2018 15:30:43	07/03/2018 00:52:43
S06	09/03/2018 00:59:43	09/03/2018 20:10:43
S09	11/03/2018 11:41:43	12/03/2018 11:40:43
S01	12/03/2018 01:29:43	12/03/2018 16:00:43
S03	12/03/2018 07:56:43	13/03/2018 06:18:43
S01	13/03/2018 23:56:43	14/03/2018 16:48:43
S02	14/03/2018 19:28:43	15/03/2018 02:01:43
S02	17/03/2018 06:19:43	18/03/2018 01:48:43
S04	18/03/2018 16:20:43	19/03/2018 06:58:43
S09	19/03/2018 07:53:43	19/03/2018 10:27:43
S07	22/03/2018 01:28:43	22/03/2018 09:13:43
S03	23/03/2018 22:39:43	24/03/2018 07:41:43
S05	25/03/2018 03:49:43	25/03/2018 13:24:43
S01	25/03/2018 19:18:43	26/03/2018 04:21:43
S05	28/03/2018 11:56:43	29/03/2018 06:32:43
S04	28/03/2018 22:59:43	29/03/2018 10:26:43
S05	29/03/2018 01:34:43	29/03/2018 16:52:43
S07	29/03/2018 16:30:43	30/03/2018 10:47:43
S08	31/03/2018 19:59:43	31/03/2018 22:24:43
S21	02/04/2018 00:01:43	02/04/2018 14:18:43
S06	03/04/2018 19:25:43	04/04/2018 05:05:43
S07	05/04/2018 06:20:43	05/04/2018 07:02:43
S08	06/04/2018 06:01:43	07/04/2018 03:14:43
S04	08/04/2018 14:13:43	09/04/2018 04:52:43
S04	11/04/2018 01:52:43	11/04/2018 02:30:43
S07	11/04/2018 20:59:43	12/04/2018 03:28:43
S08	12/04/2018 15:06:43	12/04/2018 18:30:43
S07	14/04/2018 18:39:43	15/04/2018 00:21:43
S09	16/04/2018 02:15:43	16/04/2018 11:51:43
S04	17/04/2018 20:53:43	18/04/2018 00:08:43
S01	19/04/2018 03:58:43	19/04/2018 09:19:43
S05	19/04/2018 07:22:43	20/04/2018 02:49:43
S01	20/04/2018 13:22:43	20/04/2018 18:36:43
S02	21/04/2018 02:20:43	21/04/2018 16:20:43
S05	21/04/2018 04:59:43	21/04/2018 09:17:43
S21	21/04/2018 14:09:43	21/04/2018 14:38:43
S06	24/04/2018 13:19:43	24/04/2018 23:21:43
S06	26/04/2018 01:15:43	26/04/2018 19:51:43
S21	27/04/2018 15:34:43	27/04/2018 21:51:43
S08	30/04/2018 14:11:43	30/04/2018 15:18:43
S04	03/05/2018 00:39:43	03/05/2018 13:27:43
S05	05/05/2018 11:33:43	06/05/2018 01:35:43
S04	08/05/2018 07:02:43	09/05/2018 06:17:43
S09	10/05/2018 15:44:43	10/05/2018 20:33:43
S21	13/05/2018 02:29:43	13/05/2018 13:22:43
S08	15/05/2018 17:04:43	16/05/2018 11:03:43
S09	16/05/2018 11:37:43	17/05/2018 07:45:43
S05	17/05/2018 06:14:43	17/05/2018 23:02:43
S01	18/05/2018 10:16:43	19/05/2018 04:46:43
S07	20/05/2018 03:20:43	20/05/2018 23:57:43
S08	20/05/2018 07:30:43	20/05/2018 10:43:43
S02	20/05/2018 20:58:43	21/05/2018 10:54:43
S09	21/05/2018 02:47:43	21/05/2018 23:52:43
S04	22/05/2018 12:19:43	22/05/2018 15:13:43
S07	24/05/2018 15:47:43	25/05/2018 11:36:43
S04	26/05/2018 14:53:43	27/05/2018 02:58:43
S06	28/05/2018 16:16:43	29/05/2018 01:43:43
S09	30/05/2018 20:02:43	31/05/2018 04:09:43
S01	30/05/2018 21:13:43	31/05/2018 02:14:43
S04	31/05/2018 14:43:43	31/05/2018 18:31:43
S04	01/06/2018 07:23:43	02/06/2018 03:54:43
S04	02/06/2018 16:25:43	03/06/2018 13:06:43
S03	03/06/2018 00:20:43	03/06/2018 08:33:43
S02	05/06/2018 14:36:43	05/06/2018 19:24:43
S03	07/06/2018 05:50:43	07/06/2018 22:12:43
S04	10/06/2018 01:29:43	10/06/2018 13:45:43
S07	12/06/2018 22:25:43	13/06/2018 22:01:43
S07	14/06/2018 09:18:43	15/06/2018 05:31:43
S08	15/06/2018 01:00:43	15/06/2018 12:37:43
S21	17/06/2018 16:10:43	17/06/2018 20:28:43
S06	20/06/2018 12:29:43	21/06/2018 02:26:43
S21	21/06/2018 21:22:43	22/06/2018 07:44:43
S07	22/06/2018 23:31:43	23/06/2018 19:31:43
S09	23/06/2018 07:22:43	24/06/2018 01:09:43
S04	23/06/2018 23:11:43	24/06/2018 15:47:43
S02	26/06/2018 15:33:43	26/06/2018 16:46:43
S21	27/06/2018 00:05:43	27/06/2018 05:55:43
S02	28/06/2018 04:47:43	28/06/2018 06:04:43
S06	28/06/2018 14:21:43	28/06/2018 14:27:43
S01	29/06/2018 16:26:43	29/06/2018 20:14:43
S06	01/07/2018 02:29:43	01/07/2018 02:52:43
S21	03/07/2018 22:06:43	04/07/2018 17:28:43
S21	05/07/2018 10:41:43	05/07/2018 13:51:43
S09	06/07/2018 16:37:43	07/07/2018 09:37:43
S07	09/07/2018 12:43:43	10/07/2018 03:10:43
S02	09/07/2018 17:26:43	09/07/2018 21:35:43
S09	10/07/2018 04:42:43	10/07/2018 22:45:43
S07	12/07/2018 11:57:43	13/07/2018 10:29:43
S09	12/07/2018 15:57:43	12/07/2018 18:29:43
S02	13/07/2018 09:41:43	14/07/2018 06:19:43
S08	15/07/2018 19:17:43	16/07/2018 14:35:43
S08	18/07/2018 01:55:43	18/07/2018 12:40:43
S07	20/07/2018 15:53:43	20/07/2018 18:04:43
S21	23/07/2018 14:41:43	23/07/2018 20:19:43
S02	25/07/2018 01:17:43	25/07/2018 12:19:43
S08	27/07/2018 23:49:43	28/07/2018 00:54:43
S06	28/07/2018 12:16:43	28/07/2018 15:37:43
S08	30/07/2018 01:25:43	30/07/2018 09:52:43
S21	01/08/2018 02:27:43	01/08/2018 20:45:43
S08	02/08/2018 09:37:43	02/08/2018 19:19:43
S21	03/08/2018 02:10:43	03/08/2018 13:04:43
S07	05/08/2018 19:28:43	05/08/2018 23:13:43
S01	07/08/2018 20:04:43	08/08/2018 11:05:43
S02	08/08/2018 11:56:43	09/08/2018 05:20:43
S05	09/08/2018 08:20:43	09/08/2018 13:34:43
S06	10/08/2018 22:53:43	11/08/2018 03:36:43
S09	12/08/2018 12:20:43	12/08/2018 15:40:43
S09	14/08/2018 17:56:43	14/08/2018 18:19:43
S06	17/08/2018 16:16:43	18/08/2018 16:01:43
S08	18/08/2018 23:50:43	19/08/2018 23:37:43
S08	21/08/2018 20:41:43	22/08/2018 19:46:43
S03	23/08/2018 21:03:43	23/08/2018 22:22:43
S05	24/08/2018 02:09:43	24/08/2018 12:57:43
S05	24/08/2018 07:22:43	24/08/2018 10:09:43
S21	26/08/2018 02:48:43	26/08/2018 22:39:43
S09	26/08/2018 17:35:43	27/08/2018 16:04:43
S06	28/08/2018 12:10:43	28/08/2018 23:30:43
S07	30/08/2018 16:45:43	31/08/2018 00:16:43
S02	31/08/2018 19:10:43	01/09/2018 04:21:43
S02	02/09/2018 07:08:43	03/09/2018 05:21:43
S07	02/09/2018 14:47:43	03/09/2018 09:58:43
S08	05/09/2018 02:23:43	05/09/2018 21:18:43
S03	07/09/2018 17:16:43	07/09/2018 20:11:43
S08	09/09/2018 13:09:43	09/09/2018 16:40:43
S21	11/09/2018 13:54:43	12/09/2018 13:28:43
S01	12/09/2018 01:19:43	12/09/2018 17:26:43
S08	12/09/2018 20:58:43	12/09/2018 23:30:43
S21	14/09/2018 15:27:43	15/09/2018 08:57:43
S21	15/09/2018 05:33:43	15/09/2018 06:11:43
S06	17/09/2018 13:48:43	18/09/2018 04:22:43
S01	20/09/2018 09:43:43	20/09/2018 17:01:43
S01	22/09/2018 01:49:43	22/09/2018 10:34:43
S02	23/09/2018 09:12:43	23/09/2018 23:44:43
S07	24/09/2018 20:11:43	24/09/2018 23:27:43
S05	26/09/2018 10:42:43	26/09/2018 17:26:43
S07	27/09/2018 03:34:43	27/09/2018 03:44:43
S02	29/09/2018 04:19:43	29/09/2018 09:27:43
S07	01/10/2018 19:09:43	02/10/2018 04:17:43
S08	02/10/2018 01:29:43	02/10/2018 15:03:43
S21	02/10/2018 21:18:43	03/10/2018 15:14:43
S07	04/10/2018 18:41:43	05/10/2018 05:36:43
S09	05/10/2018 15:37:43	06/10/2018 13:30:43
S06	07/10/2018 17:30:43	08/10/2018 11:08:43
S03	09/10/2018 06:51:43	09/10/2018 13:09:43
S06	09/10/2018 23:20:43	10/10/2018 08:53:43
S04	12/10/2018 06:28:43	13/10/2018 02:33:43
S01	13/10/2018 13:06:43	13/10/2018 21:50:43
S21	15/10/2018 12:14:43	15/10/2018 20:57:43
S09	18/10/2018 03:24:43	18/10/2018 11:28:43
S06	20/10/2018 17:06:43	20/10/2018 23:33:43
S08	21/10/2018 13:14:43	22/10/2018 02:03:43
S03	22/10/2018 14:57:43	23/10/2018 06:15:43
S02	25/10/2018 09:02:43	25/10/2018 11:16:43
S07	28/10/2018 05:16:43	28/10/2018 05:30:43
S01	31/10/2018 00:47:43	31/10/2018 20:51:43
S08	01/11/2018 18:29:43	01/11/2018 20:44:43
S04	03/11/2018 05:52:43	03/11/2018 13:48:43
S08	03/11/2018 06:53:43	03/11/2018 12:28:43
S07	05/11/2018 04:19:43	05/11/2018 06:15:43
S03	05/11/2018 09:30:43	05/11/2018 19:47:43
S05	07/11/2018 04:03:43	07/11/2018 20:33:43
S03	09/11/2018 10:20:43	09/11/2018 22:49:43
S02	10/11/2018 09:26:43	10/11/2018 15:10:43
S21	12/11/2018 10:50:43	12/11/2018 15:26:43
S08	14/11/2018 12:19:43	14/11/2018 19:39:43
S04	14/11/2018 14:23:43	15/11/2018 10:35:43
S21	15/11/2018 03:02:43	15/11/2018 21:29:43
S08	17/11/2018 20:58:43	18/11/2018 19:07:43
S05	20/11/2018 09:34:43	21/11/2018 02:04:43
S08	23/11/2018 04:22:43	23/11/2018 15:26:43
S03	25/11/2018 00:48:43	25/11/2018 15:41:43
S09	27/11/2018 00:07:43	27/11/2018 17:43:43
S01	29/11/2018 06:44:43	29/11/2018 08:38:43
S08	02/12/2018 00:44:43	02/12/2018 19:16:43
S06	02/12/2018 16:01:43	03/12/2018 08:13:43
S09	03/12/2018 14:21:43	03/12/2018 15:43:43
S09	04/12/2018 20:53:43	04/12/2018 23:05:43
S07	06/12/2018 23:45:43	07/12/2018 13:46:43
S04	08/12/2018 08:07:43	09/12/2018 04:29:43
S06	10/12/2018 18:31:43	11/12/2018 08:13:43
S09	13/12/2018 08:07:43	13/12/2018 10:28:43
S08	15/12/2018 03:03:43	15/12/2018 03:11:43
S02	17/12/2018 07:57:43	17/12/2018 22:52:43
